iter	MAE
193	3.975356274
194	3.97408497
195	3.973049852
196	3.971124945
197	3.962839444
198	3.958872737
199	3.954278016
200	3.951751892
201	3.950479929
202	3.945633195
203	3.943326732
204	3.939186248
205	3.929301918
206	3.922096224
207	3.918891363
208	3.915605566
209	3.907086151
210	3.895207079
211	3.89209655
212	3.888612201
213	3.883942138
214	3.876361925
215	3.87382205
216	3.866383723
217	3.857796308
218	3.855061707
219	3.851583083
220	3.849567358
221	3.847336246
222	3.838962208
223	3.835586475
224	3.83262952
225	3.830447388
226	3.828589676
227	3.826610883
228	3.825420332
229	3.822259807
230	3.82040221
231	3.819091418
232	3.812167365
233	3.809397142
234	3.80323118
235	3.797642594
236	3.7960154
237	3.793857952
238	3.791172216
239	3.784328947
240	3.779483558
241	3.77606677
242	3.770576092
243	3.764954163
244	3.761495888
245	3.759378924
246	3.756149305
247	3.750845107
248	3.748452347
249	3.74571441
250	3.745225097
251	3.741897856
252	3.739520631
253	3.735534195
254	3.734027668
255	3.729577257
256	3.727575117
257	3.72443392
258	3.719332158
259	3.715543864
260	3.71231301
261	3.702628921
262	3.696790473
263	3.689259285
264	3.682997827
265	3.679348076
266	3.676395763
267	3.672776128
268	3.669114548
269	3.664013842
270	3.660079276
271	3.659056811
272	3.654184728
273	3.648532458
274	3.647131485
275	3.64043214
276	3.638843782
277	3.633343706
278	3.629835142
279	3.625833701
280	3.615809812
281	3.606471642
282	3.596838077
283	3.58782001
284	3.584366344
285	3.579569814
286	3.570464472
287	3.569951533
288	3.566697877
289	3.564864159
290	3.560719706
291	3.556352618
292	3.554678527
293	3.553911749
294	3.547906927
295	3.544671534
296	3.541525949
297	3.539285844
298	3.533012891
299	3.527268016
300	3.526201003
301	3.521032816
302	3.51825397
303	3.516687394
304	3.506840129
305	3.501098276
306	3.500040924
307	3.492767133
308	3.49031968
309	3.488356639
310	3.485989361
311	3.478840083
312	3.47655778
313	3.470241979
314	3.464693704
315	3.463130342
316	3.461934178
317	3.460357618
318	3.456586447
319	3.448029802
320	3.446321287
321	3.443878894
322	3.437503118
323	3.434979909
324	3.423956902
325	3.422719095
326	3.414475928
327	3.413335106
328	3.408226444
329	3.394675639
330	3.387761741
331	3.385961496
332	3.38365278
333	3.374187666
334	3.364486016
335	3.356250932
336	3.351564878
337	3.343576964
338	3.337183186
339	3.333156779
340	3.330908141
341	3.326381581
342	3.322071011
343	3.318943191
344	3.314826964
345	3.312343096
346	3.311626762
347	3.300645043
348	3.298728774
349	3.289591271
350	3.285503258
351	3.282155803
352	3.280951582
353	3.274632306
354	3.268560714
355	3.262082631
356	3.254679093
357	3.239777095
358	3.236285602
359	3.230976779
360	3.228080747
361	3.224749668
362	3.221176486
363	3.214038146
364	3.210466225
365	3.20463345
366	3.19929438
367	3.197657544
